WardID,Sub-District,Cases_03292020
19100011,Eastern,0.686350944
19100014,Eastern,0.746207953
19100015,Eastern,0.455435
19100016,Eastern,0.858726075
19100017,Eastern,0.821469161
19100019,Eastern,1.071594569
19100083,Eastern,0.496773497
19100084,Eastern,0.69935482
19100085,Eastern,0.667287927
19100086,Eastern,0.783466639
19100100,Eastern,0.688890901
19100108,Eastern,0.839688957
19100109,Eastern,0.66482365
19100114,Eastern,0.519929906
19100018,Khayelitsha,0.058805863
19100087,Khayelitsha,0.058890596
19100089,Khayelitsha,0.07274467
19100090,Khayelitsha,0.049929834
19100091,Khayelitsha,0.07264301
19100092,Khayelitsha,0.06738214
19100093,Khayelitsha,0.079551573
19100094,Khayelitsha,0.07115891
19100095,Khayelitsha,0.091074367
19100096,Khayelitsha,0.072119405
19100097,Khayelitsha,0.062682992
19100098,Khayelitsha,0.075642009
19100099,Khayelitsha,0.095291073
19100116,Khayelitsha,0.072083559
19100036,Klipfontein,0.375778279
19100037,Klipfontein,0.265040423
19100038,Klipfontein,0.281868394
19100039,Klipfontein,0.348078186
19100040,Klipfontein,0.419143713
19100041,Klipfontein,0.298708437
19100042,Klipfontein,0.302210043
19100044,Klipfontein,0.457410593
19100045,Klipfontein,0.415346484
19100046,Klipfontein,0.357364843
19100047,Klipfontein,0.413654596
19100048,Klipfontein,0.288947349
19100049,Klipfontein,0.397989358
19100060,Klipfontein,0.378459304
19100033,Mitchells_Plain,0.453614288
19100034,Mitchells_Plain,0.420258312
19100035,Mitchells_Plain,0.473154867
19100075,Mitchells_Plain,0.435470903
19100076,Mitchells_Plain,0.411522529
19100078,Mitchells_Plain,0.403147514
19100079,Mitchells_Plain,0.51349713
19100080,Mitchells_Plain,0.423948284
19100081,Mitchells_Plain,0.4597588
19100082,Mitchells_Plain,0.488686542
19100088,Mitchells_Plain,0.516940831
19100001,Northern,1.137615221
19100005,Northern,1.053552888
19100006,Northern,1.571330311
19100007,Northern,1.199313503
19100008,Northern,1.259504369
19100021,Northern,0.945156122
19100070,Northern,1.080736336
19100101,Northern,1.595960006
19100102,Northern,1.163678436
19100103,Northern,1.102481311
19100105,Northern,1.440121103
19100111,Northern,1.510770009
19100112,Northern,0.939780385
19100043,Southern,7.323597731
19100058,Southern,5.340106625
19100059,Southern,3.735999281
19100061,Southern,5.946246632
19100062,Southern,4.250061127
19100063,Southern,6.037792876
19100064,Southern,5.407475697
19100065,Southern,6.092158009
19100066,Southern,6.004628633
19100067,Southern,9.412093007
19100068,Southern,5.094636331
19100069,Southern,6.716646282
19100071,Southern,4.912732487
19100072,Southern,5.385241548
19100073,Southern,5.070063517
19100074,Southern,6.459353473
19100110,Southern,4.811166743
19100002,Tygerberg,0.750263129
19100003,Tygerberg,0.645462529
19100009,Tygerberg,0.79595278
19100010,Tygerberg,0.765480315
19100012,Tygerberg,0.88765154
19100013,Tygerberg,1.183185546
19100020,Tygerberg,1.064229112
19100022,Tygerberg,0.773645671
19100024,Tygerberg,0.763236257
19100025,Tygerberg,1.00849545
19100026,Tygerberg,0.967531473
19100027,Tygerberg,0.514801575
19100028,Tygerberg,0.889045473
19100030,Tygerberg,0.895947687
19100031,Tygerberg,0.886042765
19100050,Tygerberg,0.827082443
19100106,Tygerberg,1.381946255
19100004,Western,7.418003818
19100023,Western,6.488488874
19100029,Western,8.335420151
19100032,Western,9.606726401
19100051,Western,5.752875853
19100052,Western,5.256259972
19100053,Western,5.542053014
19100054,Western,4.919823013
19100055,Western,6.829240805
19100056,Western,7.439508839
19100057,Western,6.6563291
19100077,Western,4.958234927
19100104,Western,8.220520174
19100107,Western,5.578790032
19100113,Western,6.160157819
19100115,Western,6.837567208