WardID,Informal_residential
19100001,0
19100002,0
19100003,0
19100004,0
19100005,0
19100006,0.1463319
19100007,0
19100008,0
19100009,0
19100010,0
19100011,0
19100012,0
19100013,0
19100014,0.030383455
19100015,0
19100016,0.066808416
19100017,0
19100018,0.222596386
19100019,0.049213671
19100020,0
19100021,0
19100022,0.071303733
19100023,0
19100024,0.061155096
19100025,0
19100026,0
19100027,0
19100028,0
19100029,0
19100030,0
19100031,0.076660553
19100032,0.081237075
19100033,0.262870203
19100034,0.130737286
19100035,0.105311641
19100036,0.255491422
19100037,0.07710231
19100038,0
19100039,0.202646632
19100040,0.576038822
19100041,0.031279578
19100042,0.229040202
19100043,0.049755205
19100044,0
19100045,0
19100046,0.018946388
19100047,0
19100048,0.017719451
19100049,0
19100050,0
19100051,0.01457092
19100052,0.420560972
19100053,0
19100054,0
19100055,0
19100056,0.009415075
19100057,0
19100058,0
19100059,0
19100060,0
19100061,0.032997356
19100062,0
19100063,0.010890104
19100064,0
19100065,0
19100066,0.005597789
19100067,0.183516065
19100068,0
19100069,0.165087397
19100070,0
19100071,0
19100072,0
19100073,0
19100074,0.309928915
19100075,0
19100076,0
19100077,0
19100078,0
19100079,0
19100080,0.35770862
19100081,0
19100082,0
19100083,0
19100084,0.059790587
19100085,0.098767701
19100086,0.17195387
19100087,0.457703489
19100088,0.460019146
19100089,0.659488421
19100090,0.489569926
19100091,0.356159344
19100092,0.028450003
19100093,0.429850126
19100094,0
19100095,0.604795756
19100096,0.167384892
19100097,0
19100098,0.206130897
19100099,0.257636598
19100100,0
19100101,0
19100102,0
19100103,0
19100104,0.346508569
19100105,0.130582269
19100106,0
19100107,0
19100108,0.028279589
19100109,0.005244661
19100110,0
19100111,0
19100112,0
19100113,0
19100114,0.247233514
19100115,0
19100116,0
Total,0.085283673