,e,s,i1,i2,c,r,d,detected
0,48,99955,0,0,0,0,0,8
1,34,99955,8,6,0,0,0,0
2,23,99954,12,14,0,0,0,0
3,14,99950,18,21,0,0,0,0
4,8,99947,21,27,0,0,0,1
5,11,99944,21,27,0,0,0,0
6,16,99939,21,27,0,0,0,1
7,16,99938,22,27,0,0,0,0
8,16,99934,25,28,0,0,0,1
9,17,99930,26,30,0,0,0,0
10,18,99926,27,32,0,0,0,0
11,21,99918,21,29,0,14,0,1
12,26,99912,17,22,0,26,0,2
13,27,99907,12,18,0,39,0,0
14,26,99904,9,16,0,48,0,0
15,33,99893,10,19,0,48,0,3
16,36,99882,12,25,0,48,0,3
17,33,99879,14,28,0,49,0,0
18,31,99876,12,31,0,53,0,0
19,32,99872,13,30,0,56,0,1
20,30,99863,15,36,0,59,0,1
21,29,99853,17,40,0,64,0,2
22,29,99850,17,42,0,65,0,1
23,35,99841,17,41,0,69,0,1
24,45,99827,21,37,0,73,0,1
25,46,99817,22,41,0,77,0,1
26,53,99800,23,42,0,85,0,2
27,63,99787,22,40,0,91,0,3
28,66,99775,25,41,0,96,0,1
29,68,99759,28,49,0,99,0,2
30,69,99748,30,46,0,110,0,1
31,64,99736,32,50,0,121,0,1
32,66,99721,36,56,0,124,0,1
33,69,99706,39,62,0,127,0,5
34,74,99685,38,75,0,131,0,4
35,97,99651,41,74,0,140,0,4
36,110,99626,42,75,0,150,0,5
37,122,99599,46,83,0,153,0,3
38,137,99569,50,85,0,162,0,8
39,155,99530,55,87,0,176,0,2
40,146,99505,63,103,0,186,0,4
41,161,99465,68,106,0,203,0,3
42,168,99431,76,112,0,216,0,4
43,178,99391,80,126,0,228,0,4
44,184,99346,95,134,1,243,0,7
45,200,99305,97,146,1,254,0,7
46,212,99253,114,157,2,265,0,9
47,216,99215,120,170,2,280,0,5
48,233,99158,127,188,3,294,0,8
49,243,99103,136,203,3,315,0,8
50,264,99041,133,213,3,349,0,8
51,279,98974,147,226,3,374,0,7
52,302,98913,150,234,6,398,0,7
53,310,98848,161,250,6,428,0,14
54,335,98768,160,267,7,466,0,12
55,351,98690,169,295,7,490,1,6
56,351,98623,180,311,7,530,1,12
57,403,98510,184,334,6,565,1,12
58,453,98395,193,350,8,603,1,22
59,487,98281,205,373,9,647,1,16
60,556,98134,222,393,12,685,1,25
61,623,98000,230,400,9,738,3,22
62,654,97856,264,441,8,776,4,22
63,696,97699,288,475,8,832,5,20
64,752,97529,312,510,11,884,5,25
65,798,97336,354,553,15,942,5,24
66,857,97143,370,604,17,1007,5,34
67,909,96947,407,650,15,1069,6,29
68,970,96729,455,694,15,1133,7,33
69,985,96544,488,751,15,1213,7,29
70,1023,96313,536,818,17,1289,7,45
71,1083,96060,582,898,17,1356,7,37
72,1175,95772,607,956,21,1465,7,37
73,1249,95480,646,1020,21,1578,9,35
74,1322,95222,686,1051,18,1693,11,42
75,1422,94891,722,1099,17,1839,13,50
76,1503,94557,758,1182,18,1972,13,42
77,1551,94221,815,1269,24,2109,14,38
78,1628,93852,859,1360,27,2262,15,58
79,1754,93468,892,1415,28,2431,15,54
80,1835,93056,932,1513,30,2622,15,52
81,1926,92631,993,1593,34,2809,17,69
82,2073,92148,1034,1692,35,3003,18,63
83,2134,91718,1105,1772,42,3214,18,52
84,2236,91232,1167,1909,49,3391,19,57
85,2321,90735,1252,2005,53,3617,20,72
86,2425,90206,1317,2112,49,3870,24,83
87,2489,89659,1399,2225,48,4158,25,73
88,2586,89132,1439,2323,53,4443,27,74
89,2695,88537,1538,2452,56,4697,28,81
90,2829,87906,1628,2528,53,5026,33,88
91,2934,87272,1683,2668,58,5352,36,90
92,3001,86658,1785,2777,63,5680,39,85
93,3107,86025,1812,2908,63,6045,43,88
94,3220,85317,1913,3018,69,6418,48,104
95,3322,84584,1977,3173,75,6823,49,95
96,3377,83895,2049,3310,83,7238,51,75
97,3532,83126,2100,3390,85,7717,53,103
98,3697,82328,2194,3499,93,8137,55,116
99,3748,81569,2266,3649,101,8611,59,98
100,3820,80764,2330,3821,100,9101,67,120
101,3956,79939,2395,3916,100,9625,72,106
102,4041,79085,2476,4057,100,10165,79,117
103,4121,78207,2600,4204,105,10682,84,122
104,4257,77312,2646,4322,112,11265,89,119
105,4369,76395,2714,4428,109,11889,99,136
106,4493,75446,2808,4525,110,12516,105,135
107,4567,74518,2893,4680,110,13121,114,132
108,4693,73514,2964,4854,112,13742,124,152
109,4735,72577,3012,4993,121,14434,131,122
110,4738,71657,3121,5068,129,15150,140,119
111,4805,70641,3212,5237,135,15831,142,143
112,4862,69656,3253,5355,139,16586,152,138
113,4876,68638,3350,5464,138,17375,162,148
114,4993,67584,3394,5598,141,18125,168,159
115,5166,66491,3395,5712,155,18910,174,162
116,5203,65438,3467,5831,157,19727,180,117
117,5210,64446,3507,5922,156,20571,191,134
118,5294,63344,3583,5986,160,21434,202,155
119,5313,62271,3667,6061,162,22314,215,148
120,5282,61209,3700,6204,163,23223,222,153
121,5291,60147,3765,6243,175,24149,233,142
122,5404,59042,3822,6250,179,25064,242,166
123,5382,57962,3858,6312,181,26056,252,168
124,5354,56917,3956,6350,183,26975,268,151
125,5402,55807,4040,6408,187,27881,278,145
126,5421,54726,4061,6433,194,28877,291,144
127,5320,53722,4126,6488,199,29839,309,147
128,5325,52637,4125,6551,200,30843,322,142
129,5265,51652,4136,6531,198,31892,329,142
130,5185,50622,4157,6527,191,32970,351,144
131,5137,49589,4172,6540,190,34010,365,154
132,5121,48601,4159,6565,200,34982,375,146
133,5023,47614,4141,6566,191,36073,395,122
134,4994,46658,4065,6554,196,37126,410,135
135,4848,45774,4074,6513,202,38170,422,117
136,4658,44931,4030,6528,195,39226,435,124
137,4456,44145,3990,6451,194,40318,449,113
138,4260,43354,3968,6380,207,41377,457,108
139,4072,42586,3922,6337,209,42405,472,110
140,3899,41875,3824,6209,214,43500,482,94
141,3760,41171,3723,6072,208,44571,498,109
142,3616,40529,3633,5944,215,45558,508,94
143,3508,39846,3519,5764,224,46618,524,94
144,3332,39254,3448,5618,215,47591,545,75
145,3134,38741,3282,5465,211,48616,554,79
146,2973,38198,3196,5222,208,49638,568,91
147,2812,37717,3069,5003,203,50614,585,72
148,2582,37264,2961,4807,197,51592,600,66
149,2418,36836,2819,4585,198,52535,612,50
150,2299,36442,2685,4348,194,53414,621,63
151,2142,36056,2540,4193,181,54254,637,57
152,1991,35726,2443,3985,168,55036,654,49
153,1848,35416,2296,3794,167,55816,666,39
154,1701,35135,2161,3589,167,56577,673,43
155,1577,34865,2084,3349,160,57285,683,40
156,1442,34614,1941,3174,156,57980,696,41
157,1343,34383,1792,3011,151,58611,712,32
158,1219,34197,1635,2795,147,59283,727,31
159,1137,33998,1534,2585,145,59867,737,26
160,1044,33821,1440,2436,138,60381,743,27
161,954,33660,1353,2231,131,60920,754,26
162,877,33506,1251,2083,120,61401,765,17
163,851,33346,1187,1880,118,61848,773,28
164,787,33211,1109,1729,115,62273,779,17
165,723,33098,1011,1610,102,62671,788,14
166,667,32993,940,1456,93,63057,797,15
167,600,32906,879,1341,80,63388,809,14
168,530,32816,841,1229,70,63705,812,11
169,481,32730,769,1155,70,63985,813,18
170,444,32654,709,1058,68,64251,819,11
171,413,32580,649,972,70,64499,820,10
172,376,32530,593,884,63,64732,825,10
173,352,32464,534,847,54,64921,831,10
174,308,32422,496,772,55,65118,832,3
175,286,32368,456,711,56,65292,834,6
176,255,32325,418,662,50,65456,837,5
177,243,32287,388,588,51,65609,837,7
178,214,32250,340,542,48,65772,837,6
179,200,32222,303,486,42,65912,838,2
180,167,32201,277,453,37,66028,840,2
181,155,32170,257,411,35,66133,842,5
182,154,32133,237,382,35,66220,842,5
183,139,32111,217,349,32,66310,845,0
184,127,32095,195,313,25,66399,849,2
185,124,32077,181,272,26,66473,850,2
186,107,32063,165,245,26,66545,852,1
187,83,32050,158,239,27,66593,853,1
188,76,32035,142,211,23,66661,855,1
189,75,32020,133,194,21,66705,855,2
190,64,32013,118,173,16,66762,857,1
191,66,31997,107,155,16,66805,857,2
192,65,31985,94,143,15,66842,859,2
193,56,31979,84,131,15,66878,860,2
194,56,31964,79,123,15,66904,862,1
195,63,31950,72,116,11,66926,865,0
196,57,31940,69,104,11,66956,866,1
197,51,31934,57,91,10,66994,866,2
198,50,31929,54,78,9,67016,867,1
199,41,31923,55,76,9,67032,867,1
200,34,31916,54,73,8,67050,868,1
201,26,31914,53,70,7,67065,868,0
202,23,31911,50,66,6,67079,868,0
203,25,31904,45,61,4,67096,868,1
204,24,31899,40,57,6,67109,868,0
205,20,31896,41,56,3,67118,869,0
206,20,31894,35,48,3,67134,869,1
207,21,31890,28,46,2,67147,869,1
208,19,31885,25,50,2,67153,869,2
209,17,31882,23,42,3,67167,869,1
210,14,31882,21,33,4,67180,869,0
211,13,31881,16,30,4,67190,869,0
212,13,31877,16,28,4,67196,869,1
213,11,31874,17,27,2,67202,870,1
214,8,31874,15,26,2,67208,870,0
215,8,31874,11,23,2,67215,870,0
216,9,31872,10,23,2,67217,870,0
217,7,31870,11,23,2,67220,870,1
218,7,31867,10,20,2,67227,870,0
219,7,31867,7,18,1,67233,870,0
220,7,31867,5,17,1,67236,870,0
221,5,31867,5,17,1,67238,870,0
222,3,31867,5,15,1,67242,870,0
223,0,31867,5,13,1,67247,870,0
224,1,31866,5,10,1,67250,870,0
225,1,31866,5,10,1,67250,870,0
226,2,31865,5,9,1,67251,870,0
227,2,31865,4,6,1,67255,870,0
228,2,31865,4,3,1,67258,870,0
229,1,31865,4,4,1,67258,870,0
230,1,31865,4,4,1,67258,870,0
231,1,31864,3,4,1,67260,870,1
232,1,31864,1,4,1,67262,870,0
233,1,31864,0,2,2,67264,870,0
234,1,31864,0,2,2,67264,870,0
235,1,31864,0,2,2,67264,870,0
236,0,31864,0,3,1,67265,870,0
237,2,31862,0,3,1,67265,870,1
238,3,31861,0,3,1,67265,870,0
239,3,31861,0,2,1,67266,870,0
240,3,31861,0,2,1,67266,870,0
241,3,31861,0,1,1,67267,870,0
242,1,31861,1,2,0,67267,871,0
243,0,31861,1,3,0,67267,871,0
244,0,31861,1,3,0,67267,871,0
245,0,31861,1,3,0,67267,871,0
246,0,31861,1,2,0,67268,871,0
247,0,31861,1,2,0,67268,871,0
248,0,31861,1,2,0,67268,871,0
249,0,31861,1,2,0,67268,871,0
250,0,31861,1,2,0,67268,871,0
251,0,31861,1,2,0,67268,871,0
252,0,31861,0,1,0,67270,871,0
253,0,31861,0,0,1,67270,871,0
254,0,31861,0,0,1,67270,871,0
255,0,31861,0,0,1,67270,871,0
256,0,31861,0,0,1,67270,871,0
257,0,31861,0,0,1,67270,871,0
258,0,31861,0,0,1,67270,871,0
259,0,31861,0,0,1,67270,871,0
260,0,31861,0,0,1,67270,871,0
261,0,31861,0,0,1,67270,871,0
262,0,31861,0,0,0,67270,872,0
263,0,31861,0,0,0,67270,872,0
264,0,31861,0,0,0,67270,872,0
265,0,31861,0,0,0,67270,872,0
266,0,31861,0,0,0,67270,872,0
267,0,31861,0,0,0,67270,872,0
268,0,31861,0,0,0,67270,872,0
269,0,31861,0,0,0,67270,872,0
270,0,31861,0,0,0,67270,872,0
271,0,31861,0,0,0,67270,872,0
272,0,31861,0,0,0,67270,872,0
273,0,31861,0,0,0,67270,872,0
274,0,31861,0,0,0,67270,872,0
275,0,31861,0,0,0,67270,872,0
276,0,31861,0,0,0,67270,872,0
277,0,31861,0,0,0,67270,872,0
278,0,31861,0,0,0,67270,872,0
279,0,31861,0,0,0,67270,872,0
280,0,31861,0,0,0,67270,872,0
281,0,31861,0,0,0,67270,872,0
282,0,31861,0,0,0,67270,872,0
283,0,31861,0,0,0,67270,872,0
284,0,31861,0,0,0,67270,872,0
285,0,31861,0,0,0,67270,872,0
286,0,31861,0,0,0,67270,872,0
287,0,31861,0,0,0,67270,872,0
288,0,31861,0,0,0,67270,872,0
289,0,31861,0,0,0,67270,872,0
290,0,31861,0,0,0,67270,872,0
291,0,31861,0,0,0,67270,872,0
292,0,31861,0,0,0,67270,872,0
293,0,31861,0,0,0,67270,872,0
294,0,31861,0,0,0,67270,872,0
295,0,31861,0,0,0,67270,872,0
296,0,31861,0,0,0,67270,872,0
297,0,31861,0,0,0,67270,872,0
298,0,31861,0,0,0,67270,872,0
299,0,31861,0,0,0,67270,872,0
300,0,31861,0,0,0,67270,872,0
301,0,31861,0,0,0,67270,872,0
302,0,31861,0,0,0,67270,872,0
303,0,31861,0,0,0,67270,872,0
304,0,31861,0,0,0,67270,872,0
305,0,31861,0,0,0,67270,872,0
306,0,31861,0,0,0,67270,872,0
307,0,31861,0,0,0,67270,872,0
308,0,31861,0,0,0,67270,872,0
309,0,31861,0,0,0,67270,872,0
310,0,31861,0,0,0,67270,872,0
311,0,31861,0,0,0,67270,872,0
312,0,31861,0,0,0,67270,872,0
313,0,31861,0,0,0,67270,872,0
314,0,31861,0,0,0,67270,872,0
315,0,31861,0,0,0,67270,872,0
316,0,31861,0,0,0,67270,872,0
317,0,31861,0,0,0,67270,872,0
318,0,31861,0,0,0,67270,872,0
319,0,31861,0,0,0,67270,872,0
320,0,31861,0,0,0,67270,872,0
321,0,31861,0,0,0,67270,872,0
322,0,31861,0,0,0,67270,872,0
323,0,31861,0,0,0,67270,872,0
324,0,31861,0,0,0,67270,872,0
325,0,31861,0,0,0,67270,872,0
326,0,31861,0,0,0,67270,872,0
327,0,31861,0,0,0,67270,872,0
328,0,31861,0,0,0,67270,872,0
329,0,31861,0,0,0,67270,872,0
330,0,31861,0,0,0,67270,872,0
331,0,31861,0,0,0,67270,872,0
332,0,31861,0,0,0,67270,872,0
333,0,31861,0,0,0,67270,872,0
334,0,31861,0,0,0,67270,872,0
335,0,31861,0,0,0,67270,872,0
336,0,31861,0,0,0,67270,872,0
337,0,31861,0,0,0,67270,872,0
338,0,31861,0,0,0,67270,872,0
339,0,31861,0,0,0,67270,872,0
340,0,31861,0,0,0,67270,872,0
341,0,31861,0,0,0,67270,872,0
342,0,31861,0,0,0,67270,872,0
343,0,31861,0,0,0,67270,872,0
344,0,31861,0,0,0,67270,872,0
345,0,31861,0,0,0,67270,872,0
346,0,31861,0,0,0,67270,872,0
347,0,31861,0,0,0,67270,872,0
348,0,31861,0,0,0,67270,872,0
349,0,31861,0,0,0,67270,872,0
